"","leadGram","gram","Record"
"5845","that","way",88
"6021","think","the",88
"6473","look","like",88
"8107","the","public",88
"8761","and","were",88
"8925","my","dad",88
"9553","and","see",88
"11071","and","an",88
"11554","would","like",88
"16953","thinking","about",88
"17170","am","i",88
"17897","said","i",88
"19960","family","and",88
"21566","the","real",88
"33952","as","long",88
"28","this","and",87
"118","opportunity","to",87
"128","have","not",87
"737","and","made",87
"1660","the","girls",87
"1693","turned","out",87
"2292","as","far",87
"4949","were","the",87
"5275","was","at",87
"6065","is","only",87
"6238","find","out",87
"8694","a","certain",87
"14942","it","took",87
"15930","a","real",87
"17243","is","really",87
"20902","of","any",87
"21885","the","question",87
"25559","world","of",87
"29630","see","it",87
"50337","years","old",87
"3256","that","have",86
"5129","all","in",86
"7765","once","again",86
"8594","on","me",86
"11593","it","really",86
"18396","time","we",86
"19137","people","and",86
"20248","his","wife",86
"21509","the","words",86
"27187","for","about",86
"36290","told","him",86
"1213","the","ones",85
"2173","any","other",85
"4895","end","up",85
"5024","a","wonderful",85
"6116","is","this",85
"6801","but","what",85
"7221","things","i",85
"7477","over","a",85
"7694","i","even",85
"8042","figure","out",85
"8406","none","of",85
"10381","its","been",85
"13024","picked","up",85
"14308","put","it",85
"15262","the","work",85
"15638","that","had",85
"17163","my","parents",85
"17717","all","these",85
"35801","i","wrote",85
"36689","and","do",85
"606","to","become",84
"1007","a","short",84
"1584","to","sleep",84
"1967","pick","up",84
"3396","will","never",84
"3701","the","worst",84
"5109","i","go",84
"6587","focus","on",84
"7786","some","time",84
"7875","things","to",84
"8359","who","had",84
"8487","in","addition",84
"9666","for","what",84
"10432","and","with",84
"10847","to","walk",84
"13516","your","life",84
"14855","say","i",84
"16136","something","i",84
"18622","must","have",84
"20061","place","to",84
"20396","a","group",84
"2049","think","its",83
"2052","chance","to",83
"2633","god","and",83
"3066","to","some",83
"3350","as","my",83
"3432","become","a",83
"4106","that","makes",83
"4558","from","his",83
"6600","his","life",83
"7139","to","hold",83
